node_id,node_type,original_id,display_name,channel,views,likes
user_543246,user,543246,User_543246,,,
user_134091,user,134091,User_134091,,,
user_577292,user,577292,User_577292,,,
user_438558,user,438558,User_438558,,,
user_40404,user,40404,User_40404,,,
user_22954,user,22954,User_22954,,,
user_410420,user,410420,User_410420,,,
user_113534,user,113534,User_113534,,,
user_13772,user,13772,User_13772,,,
user_125689,user,125689,User_125689,,,
user_87395,user,87395,User_87395,,,
user_4295,user,4295,User_4295,,,
user_397186,user,397186,User_397186,,,
user_146322,user,146322,User_146322,,,
user_170638,user,170638,User_170638,,,
user_435982,user,435982,User_435982,,,
user_105466,user,105466,User_105466,,,
user_391585,user,391585,User_391585,,,
user_265403,user,265403,User_265403,,,
user_248149,user,248149,User_248149,,,
user_35778,user,35778,User_35778,,,
user_113498,user,113498,User_113498,,,
user_480182,user,480182,User_480182,,,
user_170930,user,170930,User_170930,,,
user_355620,user,355620,User_355620,,,
user_125478,user,125478,User_125478,,,
user_446987,user,446987,User_446987,,,
user_774,user,774,User_774,,,
user_26667,user,26667,User_26667,,,
user_218602,user,218602,User_218602,,,
user_69545,user,69545,User_69545,,,
user_184824,user,184824,User_184824,,,
user_287868,user,287868,User_287868,,,
user_169749,user,169749,User_169749,,,
user_68271,user,68271,User_68271,,,
user_148250,user,148250,User_148250,,,
user_14945,user,14945,User_14945,,,
user_208683,user,208683,User_208683,,,
user_278190,user,278190,User_278190,,,
user_74011,user,74011,User_74011,,,
user_201426,user,201426,User_201426,,,
user_129825,user,129825,User_129825,,,
user_180974,user,180974,User_180974,,,
user_398918,user,398918,User_398918,,,
user_226112,user,226112,User_226112,,,
user_505581,user,505581,User_505581,,,
user_20775,user,20775,User_20775,,,
user_339530,user,339530,User_339530,,,
user_11867,user,11867,User_11867,,,
user_246476,user,246476,User_246476,,,
user_57544,user,57544,User_57544,,,
user_74200,user,74200,User_74200,,,
user_514739,user,514739,User_514739,,,
user_33936,user,33936,User_33936,,,
user_9760,user,9760,User_9760,,,
user_268157,user,268157,User_268157,,,
user_41606,user,41606,User_41606,,,
user_318518,user,318518,User_318518,,,
user_143016,user,143016,User_143016,,,
user_42866,user,42866,User_42866,,,
user_279205,user,279205,User_279205,,,
user_208704,user,208704,User_208704,,,
user_446971,user,446971,User_446971,,,
user_94093,user,94093,User_94093,,,
user_74420,user,74420,User_74420,,,
user_551600,user,551600,User_551600,,,
user_337486,user,337486,User_337486,,,
user_204324,user,204324,User_204324,,,
user_431026,user,431026,User_431026,,,
user_181680,user,181680,User_181680,,,
user_10140,user,10140,User_10140,,,
user_160414,user,160414,User_160414,,,
user_242843,user,242843,User_242843,,,
user_176400,user,176400,User_176400,,,
user_27408,user,27408,User_27408,,,
user_488620,user,488620,User_488620,,,
user_601776,user,601776,User_601776,,,
user_51500,user,51500,User_51500,,,
user_247123,user,247123,User_247123,,,
user_170810,user,170810,User_170810,,,
user_64997,user,64997,User_64997,,,
user_7688,user,7688,User_7688,,,
user_172975,user,172975,User_172975,,,
user_4324,user,4324,User_4324,,,
user_194084,user,194084,User_194084,,,
user_606793,user,606793,User_606793,,,
user_181853,user,181853,User_181853,,,
user_9171,user,9171,User_9171,,,
user_169237,user,169237,User_169237,,,
user_511549,user,511549,User_511549,,,
user_456141,user,456141,User_456141,,,
user_38361,user,38361,User_38361,,,
user_235238,user,235238,User_235238,,,
user_212210,user,212210,User_212210,,,
user_94964,user,94964,User_94964,,,
user_23403,user,23403,User_23403,,,
user_181087,user,181087,User_181087,,,
user_285112,user,285112,User_285112,,,
user_439107,user,439107,User_439107,,,
user_117095,user,117095,User_117095,,,
video_D_CZ8v9uZJY,video,D_CZ8v9uZJY,FULL FACE OF MAKEUP IM THROWING OUT 2018,Laura Lee,1179451,56241
video_SPD1v_8RQUY,video,SPD1v_8RQUY,Getting Recognized at Disneyland,itsAlexClark,566206,18202
video_Xpv-sEKl1B4,video,Xpv-sEKl1B4,"Why You Should Wake Up at 4:30 AM Every Day, Accor",Business Insider,3688037,73439
video_OTEIbWy8AvY,video,OTEIbWy8AvY,Interstellar Travel with Wendover and Neil Tyson,StarTalk,236942,8239
video_AFbu21AGSho,video,AFbu21AGSho,Watch a Hercules Beetle Metamorphose Before Your E,Nat Geo WILD,912852,15611
video_b191evqWAwE,video,b191evqWAwE,Game Rewind: Watch Loyola Chicago advance to their,NCAA March Madness,271503,1866
video_CvkOWb1U-LI,video,CvkOWb1U-LI,Why Are Progress Bars Wrong So Often?,Techquickie,282309,12547
video_q260bjSiyq0,video,q260bjSiyq0,The Floppotron: Toto - Africa,Paweł Zadrożniak,322502,15436
video_pMpQABKlC-I,video,pMpQABKlC-I,How To Speak Internet 101 (ft. Will Smith),IISuperwomanII,3691632,226845
video_O4_JNAFClFk,video,O4_JNAFClFk,NASA Launches InSight to Mars (part 1),NASA Jet Propulsion Laboratory,248524,2424
video_Hgiu9cqph5Y,video,Hgiu9cqph5Y,A Japanese Take on American Sushi,JunsKitchen,2576471,124891
video_FITSPSA8gQs,video,FITSPSA8gQs,Camila Cabello - Never Be the Same (Audio),CamilaCabelloVEVO,6062169,363560
video_8pffcngJJq0,video,8pffcngJJq0,Relay attack Solihull,West Midlands Police,505104,378
video_0bSE-rh7jFg,video,0bSE-rh7jFg,When the girl you're wrestling has a tough little ,RM Videos,817094,854
video_dbMtuJ1tZnc,video,dbMtuJ1tZnc,Karl Pilkington predicts Black Mirror (spoilers),matt,666665,12417
video_bS_Zr-Hu4Mw,video,bS_Zr-Hu4Mw,Blonde to Black Hair with Grav3yardgirl,Guy Tang,1012514,28334
video_UOHURuAf5iY,video,UOHURuAf5iY,Questions about Concrete Answered - The Basics,Practical Engineering,227784,13027
video_2in8XqiElwc,video,2in8XqiElwc,Nicki Minaj - Chun-Li (Live on SNL / 2018),NickiMinajAtVEVO,4670928,184818
video_CVPp5FtQN8E,video,CVPp5FtQN8E,Disney Princess Hand Pies,Pies Are Awesome,1776,17
video_hHFuZVGpBC0,video,hHFuZVGpBC0,Crushing and Slicing Red Hot Steel with Hydraulic ,Hydraulic Press Channel,591674,10770
video_LnA7Au-DLUM,video,LnA7Au-DLUM,Meat Expert Guesses Cheap vs Expensive Deli Meats ,Epicurious,1745551,24903
video_flLc6LmAG6c,video,flLc6LmAG6c,HONNE - Location Unknown ◐ (feat. Georgia),H O N N E,512846,13597
video_SMvZa784oow,video,SMvZa784oow,My Everyday 10 Minute Makeup Tutorial | UPDATED,Laura Lee,572110,29364
video_PZxyNX8J7Y4,video,PZxyNX8J7Y4,Liza Koshy & Gabbie Hanna Become Mermaids IRL | Li,TRL,1652804,59604
video_baj6llvgpWA,video,baj6llvgpWA,Justin Timberlake - Man of the Woods (Official Vid,justintimberlakeVEVO,5406421,119342
video_D2mxKEa2xmA,video,D2mxKEa2xmA,10 Most Devastating Cyber Attacks in History,MatthewSantoro,218721,7893
video_qeWvgZLz9yU,video,qeWvgZLz9yU,A Smart... MUG?! - Take apart a Heated Thermos!,JerryRigEverything,256761,13909
video_U7x9pTb9Lwg,video,U7x9pTb9Lwg,Still to Come this Season on Keeping Up With the K,E! Entertainment,69862,550
video_96oKlWv5wSo,video,96oKlWv5wSo,AMAZING All You Can Eat  BBQ KEBAB Buffet in India,Strictly Dumpling,581614,12369
video_dDZoGcQVjJg,video,dDZoGcQVjJg,A one-man musical phenomenon | Jacob Collier,TED,35876,1671
video_7bDvhiHoH-c,video,7bDvhiHoH-c,Seafood Sausage - Food Wishes - Fish Sausage Recip,Food Wishes,186548,6260
video_ODLwIlXK-9o,video,ODLwIlXK-9o,How Masterchef Hugo Ortega Went from Dishwasher to,Eater,24860,702
video_b03U6BYF9L0,video,b03U6BYF9L0,Debunking Anti-Vaxxers,AsapSCIENCE,790912,48896
video_EhSXsTSNDyo,video,EhSXsTSNDyo,5 Seconds Of Summer - Want You Back (Official Vide,5SOSVEVO,4611406,346614
video_kce9FMxx-04,video,kce9FMxx-04,The Twelfth Doctor Regenerates: Peter Capaldi to J,BBC,1461207,18543
video_zPJl2e38S4g,video,zPJl2e38S4g,Walk it like I talk it - Wocket in my pocket - Mig,ScatterBrain News,2154665,159414
video_L3br0klRqF4,video,L3br0klRqF4,Watch live: Sessions testifies to the House Judici,Washington Post,137003,580
video_fJe0cmOvM94,video,fJe0cmOvM94,Match the Job to the Person | Lineup | Cut,Cut,2073539,55456
video_al2l6YLt7cg,video,al2l6YLt7cg,"NCT 127 on Latest Single 'Touch', New Album 'NCT 1",Billboard,334967,41905
video_ANDqRchWuMc,video,ANDqRchWuMc,Westworld - Season  1 Review,Jeremy Jahns,176772,8975
video_p-OCfiglZRQ,video,p-OCfiglZRQ,Can Light be Black? Mind-Blowing Dark Light Experi,The Action Lab,2786923,53689
video_QXcbVHFE2bo,video,QXcbVHFE2bo,How-To Make Chocolate Mousse with Matty Matheson,Munchies,442698,14407
video_fVVS9Tng7C0,video,fVVS9Tng7C0,See Lala And Kway's Epic And Hilarious Dance-Off |,BETNetworks,198051,4657
video_45tSUnisIos,video,45tSUnisIos,5 Signs You Work With Cats,Cole and Marmalade,169542,11543
video_Ji_4dH_FXzw,video,Ji_4dH_FXzw,2018 Preakness Stakes I FULL RACE I NBC Sports,NBC Sports,649426,2296
video_ic1kMoM_kPw,video,ic1kMoM_kPw,Dylan Farrow details her sexual assault allegation,CBS This Morning,173889,846
video_OBOm_jatVCI,video,OBOm_jatVCI,Blind Fast Food Sub Sandwich Taste Test,Good Mythical Morning,2215447,39203
video_sJzWZ1yXpek,video,sJzWZ1yXpek,Hot Wheels in the Garden,5MadMovieMakers,502880,5551
video_Es9CfWMmPRU,video,Es9CfWMmPRU,$120 McGriddle Taste Test | FANCY FAST FOOD,Good Mythical Morning,1259565,21892
video_1RZYOeQeIXE,video,1RZYOeQeIXE,Sarah Paulson Gets Scared During '5 Second Rule',TheEllenShow,704786,19880
video_e_7zHm7GsYc,video,e_7zHm7GsYc,Hunter Hayes - You Should Be Loved (Part One Of Pi,Hunter Hayes,13917,1318
video_9JBKuNrd5m8,video,9JBKuNrd5m8,I WENT TO PIXAR ANIMATION STUDIOS!! (The Incredibl,DanTDM,1594811,39008
video_CwKp6Xhy3_4,video,CwKp6Xhy3_4,Chris Young - Hangin' On,ChrisYoungVEVO,272987,4091
video_2BwxeOzSx8A,video,2BwxeOzSx8A,"Don't Worry, He Won't Get Far On Foot - Official T",Amazon Studios,1103339,363
video_t1shnJT8NCY,video,t1shnJT8NCY,"We Can All Do Better Than Roy Moore | November 15,",Full Frontal with Samantha Bee,619920,7604
video_prmQgSpV3fA,video,prmQgSpV3fA,BLACK THOUGHT FREESTYLES ON FLEX | #FREESTYLE087,HOT 97,1576501,63519
video_M61Vt1C69JA,video,M61Vt1C69JA,Breakfast Sandwich Maker Competition,Good Mythical MORE,366647,7503
video_QAt8kU3TQfQ,video,QAt8kU3TQfQ,The Most Mysterious Star in the Universe We Can't ,RealLifeLore,435859,16174
video_nk3a7zq84Co,video,nk3a7zq84Co,Game Day Artichoke Dip - You Suck at Cooking (epis,You Suck At Cooking,392478,22821
video_fRFCXQ3HgdY,video,fRFCXQ3HgdY,Ohio State vs Michigan | Highlights | FOX COLLEGE ,FOX Sports,176838,1069
video_o7Ax6SRTGks,video,o7Ax6SRTGks,Cake Decorator Vs. Artist,BuzzFeedVideo,2734361,58264
video_Fj3euSYAtnc,video,Fj3euSYAtnc,BTS (방탄소년단) - Airplane pt.2 @BTS COMEBACK SHOW,BANGTANTV,5414339,571108
video_e77J4g0LMOk,video,e77J4g0LMOk,Little Mix bring the Power & CNCO to The X Factor ,The X Factor UK,4695293,158565
video_-o7zywbiFVI,video,-o7zywbiFVI,Celebrity Chef Mario Batali Accused Of Sexual Misc,MSNBC,49761,350
video_ulCdoCfw-bY,video,ulCdoCfw-bY,The Black Hole Bomb and Black Hole Civilizations,Kurzgesagt – In a Nutshell,3154240,170938
video_SFr0fCgrTNQ,video,SFr0fCgrTNQ,10 Crazy eBay Items!,Matthias,1288373,85126
video_HrQNdClwMs4,video,HrQNdClwMs4,DIY GIANT McDONALDS HASH BROWN 🍟 - VERSUS,HellthyJunkFood,1957964,25829
video_MSzytvDsPfo,video,MSzytvDsPfo,Cut for Time: Hallmark Channel Christmas Promo (Ja,Saturday Night Live,1082383,14146
video_V_jU_ssWvc4,video,V_jU_ssWvc4,Anderson Cooper and Andy Cohen Met on a Failed Bli,The Tonight Show Starring Jimm,525233,6798
video_TTogFxTu_vA,video,TTogFxTu_vA,This Giant Kielbasa Helped a Michelin-starred Rest,Eater,465368,4441
video_1purAy2MsOc,video,1purAy2MsOc,22 Years of Life Milestone,TheOdd2sOut,976989,87452
video_qT0mpVcH3ZU,video,qT0mpVcH3ZU,"New Year, New Me | Rudy Mancuso & Stephen Curry",Rudy Mancuso,2307087,137870
video_Zn99TMv0vac,video,Zn99TMv0vac,Answering the Call,Verizon,122141,841
video_UZ47aQFp2TQ,video,UZ47aQFp2TQ,ELDERS REACT TO WALMART YODEL BOY,FBE,1761886,34692
video_SkcucKDrbOI,video,SkcucKDrbOI,HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD | Offic,DreamWorksTV,3733256,75328
video_YML2DM0K8DQ,video,YML2DM0K8DQ,Keith Urban - Coming Home (Lyric Video) ft. Julia ,KeithUrbanVEVO,845718,8756
video_lrWRy9BBp-c,video,lrWRy9BBp-c,ELDERS REACT TO UGANDAN KNUCKLES MEMES,FBE,2885259,74767
video_tpa4kp4lK60,video,tpa4kp4lK60,I have a brain tumor.,Simone Giertz,2865758,248715
video_ijUK3z5rt5s,video,ijUK3z5rt5s,I said Gucci Gang 1000000 Times. Here are the last,Graham The Christian,2139663,62915
video_WCKG9J1d5iE,video,WCKG9J1d5iE,Major bank ends long-time partnership with NRA,Fox Business,31798,447
video_XCrJ3NflOpE,video,XCrJ3NflOpE,A New View of the Moon,To Scale:,230399,5208
video_Evz-ZQC8wss,video,Evz-ZQC8wss,TSA Check,Studio C,439972,12086
video_BPmAxzEJpWA,video,BPmAxzEJpWA,Snoop Dogg - One More Day (feat. Charlie Wilson) f,SnoopDoggVEVO,2472141,37097
video_jpH-8HiMCRI,video,jpH-8HiMCRI,Deep Fried Ice Cream & Cookie Dough & Funfetti?! (,Clevver Style,386837,16503
video_-xAMnJgc3oA,video,-xAMnJgc3oA,Janelle Monáe – I Like That [Official Audio],Janelle Monáe,382903,16787
video_8jp3SxojXpU,video,8jp3SxojXpU,Portland-bound Amtrak train derails in Washington;,The Oregonian,354467,1433
video_5Js4TMKutCo,video,5Js4TMKutCo,Bret Interview with Devin Nunes,Bret Baier,130302,1232
video_K0u_kAWLJOA,video,K0u_kAWLJOA,God of War – Story Trailer | PS4,PlayStation,2500865,94731
video_XAzqBDFs418,video,XAzqBDFs418,Battle with Charlie Puth | Rudy Mancuso,Rudy Mancuso,1752883,137210
video_HbKnEQdCjGg,video,HbKnEQdCjGg,Lewis Capaldi - Rush (Official Audio) ft. Jessie R,LewisCapaldiVEVO,330327,13206
video_6j-s9E3dRQ0,video,6j-s9E3dRQ0,F The Prom (2017) | Official Trailer HD,The Orchard Movies,874883,18686
video_t_bnyOOFDNM,video,t_bnyOOFDNM,COLLEGE KIDS REACT TO ROSEANNE CANCELED?! (Twitter,FBE,842195,17314
video_VYOjWnS4cMY,video,VYOjWnS4cMY,Childish Gambino - This Is America (Official Video,ChildishGambinoVEVO,167997997,4281819
video_8ll04Zzw5UM,video,8ll04Zzw5UM,Lady Gaga - Joanne (Where Do You Think You’re Goin,LadyGagaVEVO,3363100,202829
video_vL2-H_0V7nw,video,vL2-H_0V7nw,"You're Not Edgy, You're Just Lazy",CollegeHumor,1005860,33110
video_akNs04ef_Co,video,akNs04ef_Co,I Read A Letter From My Younger Self,AmazingPhil,629985,102668
video_puqaWrEC7tY,video,puqaWrEC7tY,Nickelback Lyrics: Real or Fake?,Good Mythical Morning,827546,15887
video_-C5q3oir8gA,video,-C5q3oir8gA,Will It Christmas Tree?,Good Mythical Morning,686367,16228
video_TsT5GLWgSkU,video,TsT5GLWgSkU,Reacting to Avengers: Infinity War trailer,jacksfilms,966085,81699
video_u7KZrt_cHH0,video,u7KZrt_cHH0,UNSANE | Official Trailer | In theaters March 23,Bleecker Street,1267983,2504
video_bqbWMgkvedI,video,bqbWMgkvedI,Decorating Our Christmas Tree & Princess Dress | V,Tanya Burr,141529,5659
video_4L-BPQVZYXM,video,4L-BPQVZYXM,Razer Phone Review: The Real Deal!,Marques Brownlee,1409442,51315
video_hB07EJhMBRs,video,hB07EJhMBRs,A Dad Didn't Brush His Teeth For 40 Days. This Is ,Chubbyemu,467623,23805
video_c3BTGJgd8Wo,video,c3BTGJgd8Wo,"Ashanti Talks Murda Inc, Relationships, New Music ",Breakfast Club Power 105.1 FM,617338,6952
video_CbWP9nvnRhw,video,CbWP9nvnRhw,The Pun Challenge!?,nigahiga,3495861,206325
