id,original_id,display_name,channel,views,likes,tags
D_CZ8v9uZJY,D_CZ8v9uZJY,FULL FACE OF MAKEUP IM THROWING OUT 2018,Laura Lee,1179451.0,56241.0,make up|makeup tutorial
SPD1v_8RQUY,SPD1v_8RQUY,Getting Recognized at Disneyland,itsAlexClark,566206.0,18202.0,animated|animation|cartoon|disney|disneyland|vlogs
Xpv-sEKl1B4,Xpv-sEKl1B4,"Why You Should Wake Up at 4:30 AM Every Day, Accor",Business Insider,3688037.0,73439.0,
OTEIbWy8AvY,OTEIbWy8AvY,Interstellar Travel with Wendover and Neil Tyson,StarTalk,236942.0,8239.0,innovation|science|spacex
AFbu21AGSho,AFbu21AGSho,Watch a Hercules Beetle Metamorphose Before Your E,Nat Geo WILD,912852.0,15611.0,animals|discover|documentary|hercules|insect|natgeo|national geographic|nature|science|transformation|wildlife
b191evqWAwE,b191evqWAwE,Game Rewind: Watch Loyola Chicago advance to their,NCAA March Madness,271503.0,1866.0,
CvkOWb1U-LI,CvkOWb1U-LI,Why Are Progress Bars Wrong So Often?,Techquickie,282309.0,12547.0,frozen|slow|stuck|time
q260bjSiyq0,q260bjSiyq0,The Floppotron: Toto - Africa,Paweł Zadrożniak,322502.0,15436.0,arduino
pMpQABKlC-I,pMpQABKlC-I,How To Speak Internet 101 (ft. Will Smith),IISuperwomanII,3691632.0,226845.0,comedy|lilly singh|skit|types of people|will|will smith
O4_JNAFClFk,O4_JNAFClFk,NASA Launches InSight to Mars (part 1),NASA Jet Propulsion Laboratory,248524.0,2424.0,live|mars|rocket|space|television
Hgiu9cqph5Y,Hgiu9cqph5Y,A Japanese Take on American Sushi,JunsKitchen,2576471.0,124891.0,american|cat|cook|cooking|food|japan|kitchen|sushi
FITSPSA8gQs,FITSPSA8gQs,Camila Cabello - Never Be the Same (Audio),CamilaCabelloVEVO,6062169.0,363560.0,camila cabello|inside out|pop
8pffcngJJq0,8pffcngJJq0,Relay attack Solihull,West Midlands Police,505104.0,378.0,
0bSE-rh7jFg,0bSE-rh7jFg,When the girl you're wrestling has a tough little ,RM Videos,817094.0,854.0,epic|video|viral
dbMtuJ1tZnc,dbMtuJ1tZnc,Karl Pilkington predicts Black Mirror (spoilers),matt,666665.0,12417.0,black mirror
bS_Zr-Hu4Mw,bS_Zr-Hu4Mw,Blonde to Black Hair with Grav3yardgirl,Guy Tang,1012514.0,28334.0,balayage|diy|do it yourself|hair|hair color|hair stylist|hair tutorial|houston|joey graceffa|trl|tutorial|youtuber
UOHURuAf5iY,UOHURuAf5iY,Questions about Concrete Answered - The Basics,Practical Engineering,227784.0,13027.0,hydraulic press
2in8XqiElwc,2in8XqiElwc,Nicki Minaj - Chun-Li (Live on SNL / 2018),NickiMinajAtVEVO,4670928.0,184818.0,
CVPp5FtQN8E,CVPp5FtQN8E,Disney Princess Hand Pies,Pies Are Awesome,1776.0,17.0,
hHFuZVGpBC0,hHFuZVGpBC0,Crushing and Slicing Red Hot Steel with Hydraulic ,Hydraulic Press Channel,591674.0,10770.0,amazing|experiment|extreme|hack|winter
LnA7Au-DLUM,LnA7Au-DLUM,Meat Expert Guesses Cheap vs Expensive Deli Meats ,Epicurious,1745551.0,24903.0,cheap|cooking|recipes|taste test
flLc6LmAG6c,flLc6LmAG6c,HONNE - Location Unknown ◐ (feat. Georgia),H O N N E,512846.0,13597.0,
SMvZa784oow,SMvZa784oow,My Everyday 10 Minute Makeup Tutorial | UPDATED,Laura Lee,572110.0,29364.0,easy makeup|everyday|makeup tutorial
PZxyNX8J7Y4,PZxyNX8J7Y4,Liza Koshy & Gabbie Hanna Become Mermaids IRL | Li,TRL,1652804.0,59604.0,comedian|comedy|fail|funny|hilarious|irl|live|liza koshy|lizzza|mtv|original|parody|singer|songwriter|star|youtuber
baj6llvgpWA,baj6llvgpWA,Justin Timberlake - Man of the Woods (Official Vid,justintimberlakeVEVO,5406421.0,119342.0,justin timberlake|pop|rca records label
D2mxKEa2xmA,D2mxKEa2xmA,10 Most Devastating Cyber Attacks in History,MatthewSantoro,218721.0,7893.0,
qeWvgZLz9yU,qeWvgZLz9yU,A Smart... MUG?! - Take apart a Heated Thermos!,JerryRigEverything,256761.0,13909.0,christmas|tech|technology|unboxing|winter
U7x9pTb9Lwg,U7x9pTb9Lwg,Still to Come this Season on Keeping Up With the K,E! Entertainment,69862.0,550.0,celebrity|celebrity news|comedy|family|kanye west
96oKlWv5wSo,96oKlWv5wSo,AMAZING All You Can Eat  BBQ KEBAB Buffet in India,Strictly Dumpling,581614.0,12369.0,curry|food porn|foodie|india|indian food
dDZoGcQVjJg,dDZoGcQVjJg,A one-man musical phenomenon | Jacob Collier,TED,35876.0,1671.0,art|music|singer
7bDvhiHoH-c,7bDvhiHoH-c,Seafood Sausage - Food Wishes - Fish Sausage Recip,Food Wishes,186548.0,6260.0,chef|fish|john|low|recipe|recipes|sausage
